PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0799999024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,7,U,33600,33600,33600
1103000001,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,F,398200,398200,563200
1103000016,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,339100,339100,339100
1103000017,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,C,697600,697600,697600
1103000017M0004,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,42200,42200,42200
1103000017M0005,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,60900,60900,60900
1103000017M0006,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,51000,51000,51000
1103000017MA006,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,116700,116700,116700
1103000018,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,C,711700,711700,711700
1103000019,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,446500,446500,446500
1103000020,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,175600,175600,175600
1103000021,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,70200,70200,70200
1103000022,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,1054600,1054600,1054600
1103000023,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,63100,63100,63100
1103000024,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,21200,21200,21200
1103000025,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,65200,65200,65200
1103000037,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,460600,460600,460600
1103000038,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,362800,362800,362800
1103000039,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,R,687700,687700,687700
1103000046,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,F,0,0,1728200
1103000047,TRS5,APPOQUINIMINK SCHOOL DIST-TRES,11,F,0,0,1097800
