PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0600100001,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,1210200,1210200,1210200
0600100002,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,3830400,3830400,3830400
0600100003,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,5071200,5071200,5071200
0600100004,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,596200
0600100005,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,29418400
0600100006,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,172500,172500,172500
0600200001,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,1111000
0600200002,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,129000
0600200003,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,2413000
0600200004,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,19111400
0600200005,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,590200
0600200006,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,877500
0600200007,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,11204500
0600200008,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,ER,0,0,2327600
0600200009,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,45500,45500,45500
0600300001,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,383200,383200,383200
0600300002,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,571600,571600,571600
0600300003,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,567700,567700,567700
0600300004,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,536600,536600,536600
0600400001,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,F,0,0,166300
0600400002,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,F,462000,462000,1177000
0600400003,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,C,2992000,2992000,2992000
0600400004,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,0,0,0
0600400004C0100,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,603200,603200,603200
0600400004C0102,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,589300,589300,589300
0600400004C0104,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,552100,552100,552100
0600400004C0106,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,489300,489300,489300
0600400004C0108,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,570200,570200,570200
0600400004C0110,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,498000,498000,498000
0600400004C0112,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,590100,590100,590100
0600400004C0114,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,622600,622600,622600
0600400004C0116,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,558200,558200,558200
0600400004C0118,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,620600,620600,620600
0600400004C0120,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,569700,569700,569700
0600400004C0122,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,624500,624500,624500
0600400004C0124,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,678000,678000,678000
0600400004C0126,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,549200,549200,549200
0600400004C0128,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,517000,517000,517000
0600400004C0130,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,604500,604500,604500
0600400004C0132,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,470400,470400,470400
0600400004C0134,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,628400,628400,628400
0600400004C0135,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,529100,529100,529100
0600400004C0136,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,678000,678000,678000
0600400004C0137,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,519100,519100,519100
0600400004C0138,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,522000,522000,522000
0600400004C0139,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,497700,497700,497700
0600400004C0140,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,596200,596200,596200
0600400004C0141,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,558600,558600,558600
0600400004C0142,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,604500,604500,604500
0600400004C0143,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,618800,618800,618800
0600400004C0144,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,567800,567800,567800
0600400004C0145,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,618700,618700,618700
0600400004C0146,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,580900,580900,580900
0600400004C0147,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,613000,613000,613000
0600400004C0148,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,531800,531800,531800
0600400004C0150,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,526900,526900,526900
0600400004C0152,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,591600,591600,591600
0600400004C0154,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,585800,585800,585800
0600400004C0156,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,375000,375000,548000
0600400004C0158,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,552100,552100,552100
0600400004C0160,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,551700,551700,551700
0600400004C0162,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,530500,530500,530500
0600400004C0164,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,516400,516400,516400
0600400004C0166,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,480300,480300,480300
0600400004C0168,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,520900,520900,520900
0600400004C0170,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,513400,513400,513400
0600400004C0172,TRS1,BRANDYWINE SCHOOL DIST-TRES,6,R,511000,511000,511000
