PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0802200001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,427600,427600,427600
0802200003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,605100,605100,605100
0802200004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,ER,0,0,2068300
0802200006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1321600,1321600,1321600
0802200007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,734100,734100,734100
0802200007R,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,0,0,0
0802200008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,566500,566500,566500
0802200009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,624400,624400,624400
0802200010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,405400,405400,405400
0802200011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,592000,419000,592000
0802200012,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,707300,707300,707300
0802200013,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,665900,665900,665900
0802200014,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,622100,622100,622100
0802200015,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,622300,622300,622300
0802200017,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,652400,652400,652400
0802200018,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,640200,640200,640200
0802200019,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,634000,634000,634000
0802200020,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,522400,522400,522400
0802200021,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,605600,605600,605600
0802200022,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,648600,648600,648600
0802200023,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,35200,35200,35200
0802200024,TRS3,CHRISTINA SCHOOL DIST-TRES,8,ER,0,0,142800
0802200025,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,526700,526700,526700
0802200026,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,665300,665300,665300
0802200027,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,642500,642500,642500
0802200028,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,641000,641000,641000
0802200029,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,535200,535200,535200
0802200030,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,590200,590200,590200
0802200031,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,571000,571000,571000
0802200032,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,666100,666100,666100
0802200033,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,566000,566000,566000
0802200034,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,669100,669100,669100
0802200035,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,555700,555700,555700
0802200036,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,868100,868100,868100
0802200037,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,591200,591200,591200
0802200038,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,626200,626200,626200
0802200039,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,68500,68500,68500
0802200045,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1084500,1084500,1084500
0802200046,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,116700,116700,116700
0802200047,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,937200,937200,937200
0802200048,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,849500,849500,849500
0802200049,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,890700,890700,890700
0802200050,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,88200,88200,88200
0802220001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,111300,111300,111300
0802220002,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,594800,594800,594800
0802220003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,559100,559100,559100
0802220004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,543800,543800,543800
0802220005,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,684100,684100,684100
0802220006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,544500,544500,544500
0802220007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,550600,550600,550600
0802220008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,548000,548000,548000
0802220009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,484900,484900,484900
0802220010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,542700,542700,542700
0802220011,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,560500,560500,560500
0802220012,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,608700,608700,608700
0802220013,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,584200,411200,584200
0802220014,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,545700,545700,545700
0802220015,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,590200,590200,590200
0802220020,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,675500,675500,675500
0802220021,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,747200,747200,747200
0802220022,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,981500,981500,981500
0802220023,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,996800,996800,996800
0802220024,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,709800,709800,709800
0802220025,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,626300,626300,626300
0802220026,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,773100,773100,773100
0802220027,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,665100,665100,665100
0802220028,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,660900,660900,660900
0802220029,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,732700,732700,732700
0802220030,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1109600,1109600,1109600
0802220031,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,779700,779700,779700
0802220032,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1114500,1114500,1114500
0802220034,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1964900,1964900,1964900
0802220035,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,602900,602900,602900
0802220036,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,710500,710500,710500
0802220037,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,693300,693300,693300
0802220038,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,612100,612100,612100
0802220039,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,584100,584100,584100
0802220040,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,609500,609500,609500
0802220041,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,983000,983000,983000
0802220042,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,655000,655000,655000
0802220043,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,746800,746800,746800
0802220044,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,641100,641100,641100
0802220045,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,974500,974500,974500
0802220046,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1582400,1582400,1582400
0802220047,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,816800,816800,816800
0802220048,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,721800,721800,721800
0802220049,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1036600,1036600,1036600
0802220050,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,124600,124600,124600
0802220051,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,772900,772900,772900
0802220052,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,833100,833100,833100
0802220053,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,697900,697900,697900
0802220079,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,815100,815100,815100
0802220080,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,620800,620800,620800
0802220081,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,838000,838000,838000
0802220082,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,600800,600800,600800
0802220083,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,1452100,1452100,1452100
0802220084,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,932700,932700,932700
0802220085,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,723000,723000,723000
0802220086,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,562400,562400,562400
0802220087,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,884500,884500,884500
0802220088,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,34300,34300,34300
0802220089,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,45500,45500,45500
0802220092,TRS3,CHRISTINA SCHOOL DIST-TRES,8,ER,0,0,138900
0802240001,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,541300,541300,541300
0802240002,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,623100,623100,623100
0802240003,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,577100,577100,577100
0802240004,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,625400,625400,625400
0802240005,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,502200,502200,502200
0802240006,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,511900,511900,511900
0802240007,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,507200,507200,507200
0802240008,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,557600,557600,557600
0802240009,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,597200,597200,597200
0802240010,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,645000,645000,645000
