PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0615200011,TRS4,COLONIAL SCHOOL DIST-TRES,6,C,2363800,2363800,2363800
0699999032,TRS4,COLONIAL SCHOOL DIST-TRES,6,U,1800,1800,1800
0699999033,TRS4,COLONIAL SCHOOL DIST-TRES,6,U,253800,253800,253800
0799999022,TRS4,COLONIAL SCHOOL DIST-TRES,7,U,85200,85200,85200
0899999015,TRS4,COLONIAL SCHOOL DIST-TRES,8,U,8900,8900,8900
0901000003,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1542000,1542000,1542000
0901100001,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,391900,391900,391900
0901100002,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,314800,314800,314800
0901100003,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,332900,332900,332900
0901100004,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1570600,1570600,1570600
0901100005,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,230100,230100,230100
0901100006,TRS4,COLONIAL SCHOOL DIST-TRES,9,EC,0,0,219300
0901100007,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1294200,1294200,1294200
0901100008,TRS4,COLONIAL SCHOOL DIST-TRES,9,ER,0,0,717200
0901100010,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,497400,497400,497400
0901100011,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,417900,417900,417900
0901100012,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,364300,364300,364300
0901100013,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,356700,356700,356700
0901100014,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,302300,302300,302300
0901100015,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,173500,173500,346500
0901100016,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,430800,430800,430800
0901100017,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,268600,268600,268600
0901100018,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,88200,88200,88200
0901100019,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,284200,284200,284200
0901100020,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,367000,367000,367000
0901100021,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,393600,393600,393600
0901100022,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,292100,292100,292100
0901100023,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,368500,368500,368500
0901100024,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,361600,361600,361600
0901100025,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,457900,457900,457900
0901100026,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,350500,350500,350500
0901100027,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,160300,160300,333300
0901100029,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,369900,369900,369900
0901100030,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,558300,558300,558300
0901100031,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,354500,181500,354500
0901100032,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,388500,388500,388500
0901100033,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,298100,298100,298100
0901100034,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,280400,107400,280400
0901100035,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,77300,77300,77300
0901100036,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,0,0,0
0901100036C0100,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1089000,1089000,1089000
0901100036C0102,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,368400,368400,368400
0901100036C0200,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,194700,194700,194700
0901100036C0201,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,500000,500000,500000
0901100036C0202,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,719200,719200,719200
0901100037,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,288600,288600,288600
0901100038,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,79100,79100,79100
0901100039,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,281500,281500,281500
0901100040,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,288200,288200,288200
0901100041,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,384400,384400,384400
0901100042,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,360400,360400,360400
0901100043,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,379600,379600,379600
0901100045,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,382200,209200,382200
0901100046,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,347400,347400,347400
0901100047,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,407500,407500,407500
0901100048,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,456300,456300,456300
0901100049,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,399200,399200,399200
0901100050,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,360200,360200,360200
0901100053,TRS4,COLONIAL SCHOOL DIST-TRES,9,R,393600,220600,393600
0901100060,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,0,0,0
0901100060C0101,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,463400,463400,463400
0901100060C0102,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1238600,1238600,1238600
0901100060C0105,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,221700,221700,221700
0901100060C0106,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,322000,322000,322000
0901100060C0107,TRS4,COLONIAL SCHOOL DIST-TRES,9,C,1077600,1077600,1077600
