PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0611700001,TRS2,RED CLAY SCHOOL DIST-TRES,6,ER,0,0,11271000
0611700002,TRS2,RED CLAY SCHOOL DIST-TRES,6,R,184100,184100,184100
0612600001,TRS2,RED CLAY SCHOOL DIST-TRES,6,C,3781100,3781100,3781100
0612600002,TRS2,RED CLAY SCHOOL DIST-TRES,6,I,223756700,223756700,223756700
0612600002I0001,TRS2,RED CLAY SCHOOL DIST-TRES,6,I,13715200,13715200,13715200
0699999034,TRS2,RED CLAY SCHOOL DIST-TRES,6,U,52500,52500,52500
0700100001,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2314200,2314200,2314200
0700100002,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,160100,160100,160100
0700100003,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,160100,160100,160100
0700100004,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,160100,160100,160100
0700100005,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,961900,961900,961900
0700100006,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,671300,671300,671300
0700100007,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,154700,154700,154700
0700100008,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,838900,838900,838900
0700100009,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,1293600
0700100010,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,81000,81000,81000
0700100011,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,894500,894500,894500
0700100012,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1850100,1850100,1850100
0700100013,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1017100,1017100,1017100
0700100014,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2861000,2861000,2861000
0700100015,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,103700,103700,103700
0700100016,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2218700,2218700,2218700
0700100017,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1255100,1255100,1255100
0700100018,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,802700,802700,802700
0700100019,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,930800,930800,930800
0700100020,TRS2,RED CLAY SCHOOL DIST-TRES,7,ER,0,0,6783400
0700100021,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1435200,1435200,1435200
0700100022,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1232500,1232500,1232500
0700100023,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,103700,103700,103700
0700100024,TRS2,RED CLAY SCHOOL DIST-TRES,7,C,9662800,9662800,9662800
0700100025,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,160100,160100,160100
0700100026,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1290100,1290100,1290100
0700100029,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1794700,1794700,1794700
0700100030,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,2203500,2203500,2203500
0700100031,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,1890700,1890700,1890700
0700100032,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,205400,205400,205400
0700100033,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,166400,166400,166400
0700100034,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,0,0,0
0700100035,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,0,0,0
0700200001,TRS2,RED CLAY SCHOOL DIST-TRES,7,R,698700,698700,698700
