PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
1401500006M0001,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,14400,14400,14400
1401800058,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,604700,604700,604700
1401800071,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,0,0,213300
1402100004,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,349000,349000,349000
1402100005,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,550200,550200,550200
1402100007,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,388400,388400,388400
1402100008,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,587700,587700,1974500
1402100009,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,523900,523900,523900
1402100010,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,539900,539900,539900
1402100011,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,369300,369300,2213100
1402100012,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,885900,885900,1742700
1402100013,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,0,0,1061300
1402100014,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,86500,86500,86500
1402100015,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,864000,864000,864000
1402100016,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,362900,362900,2347500
1402100016M0001,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,55300,55300,55300
1402100017,TRS6,SMYRNA SCHOOL DIST-TRES,14,ER,0,0,4046900
1402100018,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,622100,622100,2634300
1402100019,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,311500,311500,311500
1402100020,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,93400,93400,93400
1402100021,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,805500,805500,1258700
1402100022,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,0,0,464500
1402100023,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,426500,426500,426500
1402100025,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,893500,893500,3681500
1402100025M0001,TRS6,SMYRNA SCHOOL DIST-TRES,14,C,45100,45100,45100
1402100026,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,606900,606900,606900
1402100030,TRS6,SMYRNA SCHOOL DIST-TRES,14,ER,0,0,763100
1402100031,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,366700,366700,564000
1402100032,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,312500,312500,312500
1402100033,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,521200,521200,521200
1402100036,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,396600,396600,396600
1402100037,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,421300,421300,421300
1402100038,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,370900,370900,370900
1402100039,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,304300,304300,304300
1402100040,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,426300,426300,426300
1402100044,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,81900,81900,81900
1402100045,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,0,0,259700
1402100046,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,0,0,0
1402100047,TRS6,SMYRNA SCHOOL DIST-TRES,14,F,650400,650400,819400
1402100048,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,565400,565400,565400
1402100049,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,749700,749700,749700
1402200001,TRS6,SMYRNA SCHOOL DIST-TRES,14,ER,0,0,35375600
1402200002,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,362600,362600,362600
1402200003,TRS6,SMYRNA SCHOOL DIST-TRES,14,R,339600,339600,339600
